Site,Population,Species,Hybrid,Sample,Sequen_ID,Unique_ID,Extrac_event,Sample_Date,Subsampled,Subsampling_Qotes,Lyophilized,DNA_extr,Extr_date,DNA_conc._ng/µl,Extr_Box,Extraction_Method,Extr_notes,PCR1,PCR2,,sample_control
AGFB,AGFB,N,,1,AGFB_N001,AGFB_N001,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,9.74,4,NEW,,0,0,,sample
AGFB,AGFB,N,,1,AGFB_N001,AGFB_N001,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,9.74,4,NEW,,0,0,,sample
AGFB,AGFB,N,,1,AGFB_N001,AGFB_N001,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,9.74,4,NEW,,0,0,,sample
AGFB,AGFB,N,,10,AGFB_N010,AGFB_N010,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/7/2023,16.3,3,NEW,,0,0,,sample
AGFB,AGFB,N,,10,AGFB_N010,AGFB_N010,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/7/2023,16.3,3,NEW,,0,0,,sample
AGFB,AGFB,N,,10,AGFB_N010,AGFB_N010,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/7/2023,16.3,3,NEW,,0,0,,sample
AGFB,AGFB,N,,2,AGFB_N002,AGFB_N002,1,4/22/2022,yes,,1,1,5/12/2023,18.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,2,AGFB_N002,AGFB_N002,1,4/22/2022,yes,,1,1,5/12/2023,18.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,2,AGFB_N002,AGFB_N002,1,4/22/2022,yes,,1,1,5/12/2023,18.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,3,AGFB_N003,AGFB_N003,1,4/22/2022,yes,,1,1,10/8/2022,0.947,1,OLD,,1,1,,sample
AGFB,AGFB,N,,3,AGFB_N003,AGFB_N003,1,4/22/2022,yes,,1,1,10/8/2022,0.947,1,OLD,,1,1,,sample
AGFB,AGFB,N,,3,AGFB_N003,AGFB_N003,1,4/22/2022,yes,,1,1,10/8/2022,0.947,1,OLD,,1,1,,sample
AGFB,AGFB,N,,4,AGFB_N004,AGFB_N004,1,4/22/2022,yes,not enough tissue (.08g),1,1,2/4/2023,3.36,3,OLD,,1,1,,sample
AGFB,AGFB,N,,4,AGFB_N004,AGFB_N004,1,4/22/2022,yes,not enough tissue (.08g),1,1,2/4/2023,3.36,3,OLD,,1,1,,sample
AGFB,AGFB,N,,4,AGFB_N004,AGFB_N004,1,4/22/2022,yes,not enough tissue (.08g),1,1,2/4/2023,3.36,3,OLD,,1,1,,sample
AGFB,AGFB,N,,5,AGFB_N005,AGFB_N005,1,4/22/2022,yes,not enough tissue (.15g),1,1,1/19/2023,4.39,2,OLD,,1,1,,sample
AGFB,AGFB,N,,5,AGFB_N005,AGFB_N005,1,4/22/2022,yes,not enough tissue (.15g),1,1,1/19/2023,4.39,2,OLD,,1,1,,sample
AGFB,AGFB,N,,5,AGFB_N005,AGFB_N005,1,4/22/2022,yes,not enough tissue (.15g),1,1,1/19/2023,4.39,2,OLD,,1,1,,sample
AGFB,AGFB,N,,6,AGFB_N006,AGFB_N006,1,4/22/2022,yes,,1,1,5/15/2023,28.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,6,AGFB_N006,AGFB_N006,1,4/22/2022,yes,,1,1,5/15/2023,28.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,6,AGFB_N006,AGFB_N006,1,4/22/2022,yes,,1,1,5/15/2023,28.4,3,NEW,,0,0,,sample
AGFB,AGFB,N,,7,AGFB_N007,AGFB_N007,1,4/22/2022,yes,not enough tissue (.09g),1,1,1/19/2023,1.48,2,OLD,,1,1,,sample
AGFB,AGFB,N,,7,AGFB_N007,AGFB_N007,1,4/22/2022,yes,not enough tissue (.09g),1,1,1/19/2023,1.48,2,OLD,,1,1,,sample
AGFB,AGFB,N,,7,AGFB_N007,AGFB_N007,1,4/22/2022,yes,not enough tissue (.09g),1,1,1/19/2023,1.48,2,OLD,,1,1,,sample
AGFB,AGFB,N,,8,AGFB_N008,AGFB_N008,1,4/22/2022,yes,not enough tissue (.15g),1,1,2/4/2023,3.97,2,OLD,,1,1,,sample
AGFB,AGFB,N,,8,AGFB_N008,AGFB_N008,1,4/22/2022,yes,not enough tissue (.15g),1,1,2/4/2023,3.97,2,OLD,,1,1,,sample
AGFB,AGFB,N,,8,AGFB_N008,AGFB_N008,1,4/22/2022,yes,not enough tissue (.15g),1,1,2/4/2023,3.97,2,OLD,,1,1,,sample
AGFB,AGFB,N,,9,AGFB_N009,AGFB_N009,1,4/22/2022,yes,,1,1,1/19/2023,5.54,2,OLD,,1,1,,sample
AGFB,AGFB,N,,9,AGFB_N009,AGFB_N009,1,4/22/2022,yes,,1,1,1/19/2023,5.54,2,OLD,,1,1,,sample
AGFB,AGFB,N,,9,AGFB_N009,AGFB_N009,1,4/22/2022,yes,,1,1,1/19/2023,5.54,2,OLD,,1,1,,sample
BHEB,BHEB,G,,1,BHEB_G001,BHEB_G001,1,4/22/2022,yes,,1,1,1/12/2023,7.33,2,OLD,,1,1,,sample
BHEB,BHEB,G,,1,BHEB_G001,BHEB_G001,1,4/22/2022,yes,,1,1,1/12/2023,7.33,2,OLD,,1,1,,sample
BHEB,BHEB,G,,1,BHEB_G001,BHEB_G001,1,4/22/2022,yes,,1,1,1/12/2023,7.33,2,OLD,,1,1,,sample
BHEB,BHEB,G,,10,BHEB_G010,BHEB_G010,1,4/22/2022,yes,,1,1,3/14/2023,4.41,3,OLD,,0,0,,sample
BHEB,BHEB,G,,10,BHEB_G010,BHEB_G010,1,4/22/2022,yes,,1,1,3/14/2023,4.41,3,OLD,,0,0,,sample
BHEB,BHEB,G,,10,BHEB_G010,BHEB_G010,1,4/22/2022,yes,,1,1,3/14/2023,4.41,3,OLD,,0,0,,sample
BHEB,BHEB,G,,2,BHEB_G002,BHEB_G002,1,4/22/2022,yes,,1,1,11/5/2022,16.4,1,OLD,,1,1,,sample
BHEB,BHEB,G,,2,BHEB_G002,BHEB_G002,1,4/22/2022,yes,,1,1,11/5/2022,16.4,1,OLD,,1,1,,sample
BHEB,BHEB,G,,2,BHEB_G002,BHEB_G002,1,4/22/2022,yes,,1,1,11/5/2022,16.4,1,OLD,,1,1,,sample
BHEB,BHEB,G,,3,BHEB_G003,BHEB_G003,1,4/22/2022,yes,,1,1,10/8/2022,14.5,1,OLD,,1,1,,sample
BHEB,BHEB,G,,3,BHEB_G003,BHEB_G003,1,4/22/2022,yes,,1,1,10/8/2022,14.5,1,OLD,,1,1,,sample
BHEB,BHEB,G,,3,BHEB_G003,BHEB_G003,1,4/22/2022,yes,,1,1,10/8/2022,14.5,1,OLD,,1,1,,sample
BHEB,BHEB,G,,4,BHEB_G004,BHEB_G004,1,4/22/2022,yes,,1,1,5/12/2023,41,3,NEW,,0,0,,sample
BHEB,BHEB,G,,4,BHEB_G004,BHEB_G004,1,4/22/2022,yes,,1,1,5/12/2023,41,3,NEW,,0,0,,sample
BHEB,BHEB,G,,4,BHEB_G004,BHEB_G004,1,4/22/2022,yes,,1,1,5/12/2023,41,3,NEW,,0,0,,sample
BHEB,BHEB,G,,5,BHEB_G005,BHEB_G005,1,4/22/2022,yes,,1,1,1/19/2023,3.05,2,OLD,,1,1,,sample
BHEB,BHEB,G,,5,BHEB_G005,BHEB_G005,1,4/22/2022,yes,,1,1,1/19/2023,3.05,2,OLD,,1,1,,sample
BHEB,BHEB,G,,5,BHEB_G005,BHEB_G005,1,4/22/2022,yes,,1,1,1/19/2023,3.05,2,OLD,,1,1,,sample
BHEB,BHEB,G,,6,BHEB_G006,BHEB_G006,1,4/22/2022,yes,,1,1,11/5/2022,15.1,1,OLD,Re_Quantify: Potentially inverted with BHEB_G9,1,1,,sample
BHEB,BHEB,G,,6,BHEB_G006,BHEB_G006,1,4/22/2022,yes,,1,1,11/5/2022,15.1,1,OLD,Re_Quantify: Potentially inverted with BHEB_G9,1,1,,sample
BHEB,BHEB,G,,6,BHEB_G006,BHEB_G006,1,4/22/2022,yes,,1,1,11/5/2022,15.1,1,OLD,Re_Quantify: Potentially inverted with BHEB_G9,1,1,,sample
BHEB,BHEB,G,,7,BHEB_G007,BHEB_G007,1,4/22/2022,yes,,1,1,10/8/2022,17,1,OLD,,1,1,,sample
BHEB,BHEB,G,,7,BHEB_G007,BHEB_G007,1,4/22/2022,yes,,1,1,10/8/2022,17,1,OLD,,1,1,,sample
BHEB,BHEB,G,,7,BHEB_G007,BHEB_G007,1,4/22/2022,yes,,1,1,10/8/2022,17,1,OLD,,1,1,,sample
BHEB,BHEB,G,,8,BHEB_G008,BHEB_G008,1,4/22/2022,yes,,1,1,11/5/2022,8.07,1,OLD,,1,1,,sample
BHEB,BHEB,G,,8,BHEB_G008,BHEB_G008,1,4/22/2022,yes,,1,1,11/5/2022,8.07,1,OLD,,1,1,,sample
BHEB,BHEB,G,,8,BHEB_G008,BHEB_G008,1,4/22/2022,yes,,1,1,11/5/2022,8.07,1,OLD,,1,1,,sample
BHEB,BHEB,G,,9,BHEB_G009,BHEB_G009,1,4/22/2022,yes,,1,1,11/5/2022,7.67,1,OLD,Re_Quantify: Potentially inverted with BHEB_G6,1,1,,sample
BHEB,BHEB,G,,9,BHEB_G009,BHEB_G009,1,4/22/2022,yes,,1,1,11/5/2022,7.67,1,OLD,Re_Quantify: Potentially inverted with BHEB_G6,1,1,,sample
BHEB,BHEB,G,,9,BHEB_G009,BHEB_G009,1,4/22/2022,yes,,1,1,11/5/2022,7.67,1,OLD,Re_Quantify: Potentially inverted with BHEB_G6,1,1,,sample
BHEB,BHEB,N,,1,BHEB_N001,BHEB_N001,1,4/22/2022,yes,,1,1,2/4/2023,3.75,2,OLD,,1,1,,sample
BHEB,BHEB,N,,1,BHEB_N001,BHEB_N001,1,4/22/2022,yes,,1,1,2/4/2023,3.75,2,OLD,,1,1,,sample
BHEB,BHEB,N,,1,BHEB_N001,BHEB_N001,1,4/22/2022,yes,,1,1,2/4/2023,3.75,2,OLD,,1,1,,sample
BHEB,BHEB,N,,2,BHEB_N002,BHEB_N002,1,4/22/2022,yes,,1,1,8/26/2022,0.659,1,OLD,Re-Tissuelyser; Fine dust at the bottom did not soak Master Mix. Tried to “mix for ~ 30s.; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,2,BHEB_N002,BHEB_N002,1,4/22/2022,yes,,1,1,8/26/2022,0.659,1,OLD,Re-Tissuelyser; Fine dust at the bottom did not soak Master Mix. Tried to “mix for ~ 30s.; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,2,BHEB_N002,BHEB_N002,1,4/22/2022,yes,,1,1,8/26/2022,0.659,1,OLD,Re-Tissuelyser; Fine dust at the bottom did not soak Master Mix. Tried to “mix for ~ 30s.; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,3,BHEB_N003,BHEB_N003,1,4/22/2022,yes,,1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
BHEB,BHEB,N,,3,BHEB_N003,BHEB_N003,1,4/22/2022,yes,,1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
BHEB,BHEB,N,,3,BHEB_N003,BHEB_N003,1,4/22/2022,yes,,1,1,5/10/2023,17.7,3,NEW,,0,0,,sample
BHEB,BHEB,N,,4,BHEB_N004,BHEB_N004,1,4/22/2022,yes,,1,1,11/5/2022,1.33,1,OLD,,1,1,,sample
BHEB,BHEB,N,,4,BHEB_N004,BHEB_N004,1,4/22/2022,yes,,1,1,11/5/2022,1.33,1,OLD,,1,1,,sample
BHEB,BHEB,N,,4,BHEB_N004,BHEB_N004,1,4/22/2022,yes,,1,1,11/5/2022,1.33,1,OLD,,1,1,,sample
BHEB,BHEB,N,,5,BHEB_N005,BHEB_N005,1,4/22/2022,yes,,1,1,8/26/2022,0.94,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,5,BHEB_N005,BHEB_N005,1,4/22/2022,yes,,1,1,8/26/2022,0.94,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,5,BHEB_N005,BHEB_N005,1,4/22/2022,yes,,1,1,8/26/2022,0.94,1,OLD,Re-Tissuelyser; *Re-cleaned with step 20 (500uL of 70% EtOH),1,1,,sample
BHEB,BHEB,N,,6,BHEB_N006,BHEB_N006,1,4/22/2022,yes,,1,1,11/5/2022,3.27,1,OLD,,1,1,,sample
BHEB,BHEB,N,,6,BHEB_N006,BHEB_N006,1,4/22/2022,yes,,1,1,11/5/2022,3.27,1,OLD,,1,1,,sample
BHEB,BHEB,N,,6,BHEB_N006,BHEB_N006,1,4/22/2022,yes,,1,1,11/5/2022,3.27,1,OLD,,1,1,,sample
BHEB,BHEB,N,,7,BHEB_N007,BHEB_N007,1,4/22/2022,yes,,1,1,3/14/2023,3.8,3,OLD,,1,1,,sample
BHEB,BHEB,N,,7,BHEB_N007,BHEB_N007,1,4/22/2022,yes,,1,1,3/14/2023,3.8,3,OLD,,1,1,,sample
BHEB,BHEB,N,,7,BHEB_N007,BHEB_N007,1,4/22/2022,yes,,1,1,3/14/2023,3.8,3,OLD,,1,1,,sample
BHEB,BHEB,N,,8,BHEB_N008,BHEB_N008,1,4/22/2022,yes,"2 samples (one labeled normally, one labeled with ""#2"")",1,1,1/12/2023,12.6,2,OLD,,1,1,,sample
BHEB,BHEB,N,,8,BHEB_N008,BHEB_N008,1,4/22/2022,yes,"2 samples (one labeled normally, one labeled with ""#2"")",1,1,1/12/2023,12.6,2,OLD,,1,1,,sample
BHEB,BHEB,N,,8,BHEB_N008,BHEB_N008,1,4/22/2022,yes,"2 samples (one labeled normally, one labeled with ""#2"")",1,1,1/12/2023,12.6,2,OLD,,1,1,,sample
BMLZ,BMLZ,G,,1,BMLZ_G001,BMLZ_G001,1,5/5/2021,,,1,1,5/31/2023,31.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,1,BMLZ_G001,BMLZ_G001,1,5/5/2021,,,1,1,5/31/2023,31.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,1,BMLZ_G001,BMLZ_G001,1,5/5/2021,,,1,1,5/31/2023,31.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,2,BMLZ_G002,BMLZ_G002,1,5/5/2021,,,1,1,5/30/2023,29.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,2,BMLZ_G002,BMLZ_G002,1,5/5/2021,,,1,1,5/30/2023,29.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,2,BMLZ_G002,BMLZ_G002,1,5/5/2021,,,1,1,5/30/2023,29.5,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,3,BMLZ_G003,BMLZ_G003,1,5/5/2021,yes,,1,1,5/31/2023,24.2,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,3,BMLZ_G003,BMLZ_G003,1,5/5/2021,yes,,1,1,5/31/2023,24.2,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,3,BMLZ_G003,BMLZ_G003,1,5/5/2021,yes,,1,1,5/31/2023,24.2,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,4,BMLZ_G004,BMLZ_G004,1,5/5/2021,,,1,1,5/30/2023,37.8,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,4,BMLZ_G004,BMLZ_G004,1,5/5/2021,,,1,1,5/30/2023,37.8,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,4,BMLZ_G004,BMLZ_G004,1,5/5/2021,,,1,1,5/30/2023,37.8,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,5,BMLZ_G005,BMLZ_G005,1,5/5/2021,,,1,1,5/31/2023,41.6,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,5,BMLZ_G005,BMLZ_G005,1,5/5/2021,,,1,1,5/31/2023,41.6,4,NEW,,0,0,,sample
BMLZ,BMLZ,G,,5,BMLZ_G005,BMLZ_G005,1,5/5/2021,,,1,1,5/31/2023,41.6,4,NEW,,0,0,,sample
