"","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","AGFB_L004","AGFB_L005","AGFB_L006","AGFB_L007","AGFB_L010","AGFB_L011","AGFB_N003","AGFB_N004","AGFB_N005","AGFB_N007","AGFB_N008","AGFB_N009","BHEB_G001","BHEB_G002","BHEB_G003","BHEB_G005","BHEB_G006","BHEB_G007","BHEB_G008","BHEB_G009","BHEB_N001","BHEB_N002","BHEB_N004","BHEB_N005","BHEB_N006","BHEB_N007","BHEB_N008","C10082022","C11052022","C1192023","C12192022","C2042023","C3142023","C8262022","C9302022","CA1122023","CA12192022","CB1122023","CCNB_G004","CCRB_N001","CCRB_N002","CCRB_N003","CCRB_N004","CCRB_N005","CCRB_N006","CCRB_N007","CCRB_N008","CCRB_N009","CFZZ_G004","CFZZ_G008","HDRB_G001","HDRB_G002","HDRB_G003","HDRB_G004","HDRB_G005","HDRB_G006","HDRB_G007","HDRB_G008","HDRB_G009","HDRB_G010","HDRB_G202","HHBB_G001","HHBB_G002","HHBB_G004","HHBB_G005","HHBB_G009","HHBB_G010","HHBB_L002","HHBB_L003","HHBB_L008","HHBB_L009","HHBB_L010","HULB_L002","HUOB_G012","HUOB_G022","HUOB_G062","HUOB_G082","HUOB_G092","HUOB_G112","HUOB_N001","HUOB_N003","HUOB_N005","KNOB_L001","KNOB_L002","KNOB_L003","KNOB_L004","KNOB_L005","KNOB_L008","KNOB_L009","KNOB_L010","LMZZ_G002","LMZZ_G004","LMZZ_G006","LMZZ_G008","NFWB_L004","NFWB_L006","NFWB_L010","NFWB_N001","NFWB_N002","NFWB_N003","NFWB_N006","NFWB_N007","NFWB_N008","NFWB_N009","NFWB_N010","OPNZ_L010","OPNZ_L101","OPNZ_L103","OPNZ_L104","OPNZ_L105","OPNZ_L107","OSKB_L001","OSKB_L002","OSKB_L004","OSKB_L005","OSKB_L007","P1PCR1NEG","P1PCR2NEG","P2PCR1NEG","P2PCR2NEG","SDSB_B001","SDSB_B002","SDSB_B005","SDSB_G002","SDSB_G003","SDSB_G004","SDSB_G005","SDSB_G008","SDSB_G009","SDSB_G010","SPLB_L001","SPLB_L002","SPLB_L003","SPLB_L005","SPLB_L006","SPLB_L007","SPLB_L009","TRTZ_L001","TRTZ_L002","TRTZ_L003","TRTZ_L004","TRTZ_L005","TRTZ_L006","TRTZ_L010","TWGB_G001","TWGB_G002","TWGB_G004","TWGB_G006","TWGB_G007","TWGB_G008","TWGB_G009","WCFB_G003","WCFB_G004","WCFB_G005","WCFB_G006","WCFB_G007","WCFB_G008","WCFB_G009","WCFB_G010","WCFB_G011","WCFB_G012","WCFB_G211","WCFB_L001","WCFB_L004","WCFB_L006","WCFB_L007","WCFB_L009","WCFB_L010","WCFB_L011","WSHB_G001","WSHB_G002","WSHB_G003","WSHB_G004","WSHB_G005","WSHB_G006","WSHB_G007","WSHB_G008","WSHB_G009","WSHB_G010","WSHB_G205","YCNB_L001","YCNB_L002","YCNB_L004","YCNB_L005","YCNB_L007","YCNB_L008","YCNB_L009","YCNB_L010"
"13","ASV_13","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,59787,1781,78,258,0,0,0,0,0,0,5080,56145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ASV_14","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__basi-inflatum",123,0,0,0,591,95,320,75,81,0,1202,0,0,0,57,236,0,0,0,1,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,17578,0,0,0,444,0,0,0,75,0,0,0,0,0,0,15388,0,0,422,0,1189,0,2051,0,0,53,0,49,12,0,0,0,0,48,47,0,0,0,164,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,2546,0,206,0,78,388,639,0,0,0,0,0,0,0,0,0,0,73,0,0,58,563,38,0,0,0,11,0,596,211,0,0,5274,50,0,91,158,568,30,0,0,125,0,0,0,0,5362,12880,0,578,0,0,16259,805,126,0,0,5188,0,0,0,0,0,0,0,0,0,37
"15","ASV_15","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Blumeria","s__graminis",0,43,0,0,0,28,0,0,0,0,0,0,0,167,0,0,0,5,0,0,0,0,0,0,0,0,1446,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,78767,0,2490,53,16,4090,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,144,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ASV_16","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__vesicarium",438,0,0,5,0,71,0,0,0,0,111,0,52,0,260,0,0,0,0,366,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67296,0,0,63,0,1,0,0,0,0,0,0,87,0,0,0,13,134,0,0,0,524,0,0,1964,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,0,249,41,89,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,220,943,74,0,0,0,0,0,0,191,0,0,0,0,97,0,40,0,39,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0
"17","ASV_17","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis",0,0,0,0,0,0,0,0,0,0,0,0,935,213,1831,959,0,0,0,3705,0,0,3,0,40470,0,223,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,867,0,0,0,773,579,7009,0,0,0,0,0,5365,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,353,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ASV_18","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Protomyces","s__inouyei",101,0,0,0,0,0,0,0,0,0,0,341,219,20,1101,72,0,0,0,767,0,0,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,0,0,0,1248,4,0,0,51,0,0,0,0,0,0,1672,110,0,152,0,172,0,0,0,0,0,0,0,10,27,0,2190,27362,0,46,0,57,0,0,0,0,0,54,388,4889,40,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,310,24,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,249,660,0,1562,3334,309,0,0,0,0,0,0,0,0,0,0,0,734,98,240,0,155,660,0,3,27,0,0,0,0,13,0,0,354,0,0,423,50,0,0,0,0,0,0,0,725,2380,5,0,0,0,0,2171,0,0,0,255,0,716,0,0,0,0,0,0,0,0
"19","ASV_19","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__leptinellae",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,7,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,1591,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,1009,0,0,0,0,0,0,0,4016,44786,0,0,0,0,0,249,14,0,0,0,0,0,0,0,0,0,0,0,80,205
"20","ASV_20","k__Fungi",NA,NA,NA,NA,NA,NA,0,5,0,0,28764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,1527,0,3,0,0,3836,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,3,0,0,2809,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,0,196,0,1411,1149,0,0,0,0,0,0,0,377,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","ASV_21","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0,0,0,0,0,0,0,0,0,0,0,0,2250,49,1545,284,0,0,0,534,0,0,0,0,21860,0,205,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,23830,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,257,0,0,0,0,0
"22","ASV_22","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia","s__pinetorum",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,52557,244,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","ASV_23","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidiaceae_gen_Incertae_sedis",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,52367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
